meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.059780985,0.0642412677,0.0320269134,0.0150714886,0.0901934399,0.0751219512,12.86346184,274.4029055,0.893369417,0.491917766,0,0.059780985,0.0842791064,0.0157016683,0.275862069,0.0078125,0.0078125,0.0078125,0,0,male
0.0660087404,0.0673100288,0.0402287348,0.019413867,0.0926661901,0.0732523231,22.42328536,634.6138545,0.892193242,0.513723843,0,0.0660087404,0.107936554,0.0158259149,0.25,0.00901442308,0.0078125,0.0546875,0.046875,0.0526315789,male
0.0773155027,0.0838294209,0.0367184587,0.00870105656,0.131908017,0.123206961,30.75715458,1024.927705,0.846389092,0.478904979,0,0.0773155027,0.0987062616,0.0156555773,0.271186441,0.00799005682,0.0078125,0.015625,0.0078125,0.0465116279,male
0.151228092,0.0721105873,0.158011187,0.0965817278,0.207955252,0.111373524,1.232831276,4.17729621,0.963322462,0.727231799,0.0838781852,0.151228092,0.0889648486,0.0177975528,0.25,0.201497396,0.0078125,0.5625,0.5546875,0.247119078,male
0.135120387,0.0791461005,0.124656229,0.0787202178,0.206044929,0.127324711,1.101173666,4.333713155,0.971955076,0.783568058,0.104261402,0.135120387,0.106397845,0.0169312169,0.266666667,0.7128125,0.0078125,5.484375,5.4765625,0.208273894,male
0.132786407,0.079556866,0.119089848,0.067957993,0.209591599,0.141633606,1.932562432,8.308895037,0.963181346,0.738307004,0.112555426,0.132786407,0.11013192,0.0171122995,0.253968254,0.298221983,0.0078125,2.7265625,2.71875,0.125159642,male
0.15076233,0.0744632052,0.160106383,0.0928989362,0.205718085,0.112819149,1.530643231,5.987497658,0.96757307,0.76263767,0.0861968085,0.15076233,0.105944515,0.0262295082,0.266666667,0.479619565,0.0078125,5.3125,5.3046875,0.123991865,male
0.160514332,0.0767668849,0.144336775,0.110532168,0.231961875,0.121429706,1.397156365,4.766610695,0.95925457,0.719857907,0.128324067,0.160514332,0.0930524303,0.0177580466,0.144144144,0.301339286,0.0078125,0.5390625,0.53125,0.283936652,male
0.142239417,0.0780184624,0.138587444,0.088206278,0.208587444,0.120381166,1.099746151,4.070283706,0.970722932,0.770992054,0.219103139,0.142239417,0.0967289462,0.0179573513,0.25,0.336476293,0.0078125,2.1640625,2.15625,0.148272018,male
0.134328777,0.0803500276,0.121451347,0.075579989,0.201957119,0.12637713,1.190368444,4.787309833,0.975246143,0.804505253,0.0116987356,0.134328777,0.105880926,0.0193003619,0.262295082,0.340364583,0.015625,4.6953125,4.6796875,0.0899199816,male
